class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
IR,real,167.96875,8.385750708785026e-05,0.0001628655723355179,0.00033425391570416154,1444,500-2000
IR,real,171.875,8.842854748945888e-05,0.00015825347949056977,0.00027915718451198245,1444,500-2000
IR,real,175.78125,9.067903836221697e-05,0.00022261302700858147,0.0005731076750204027,1444,500-2000
IR,real,179.6875,8.314714256628256e-05,0.0002131442843233485,0.0005837389109332922,1444,500-2000
IR,real,183.59375,7.241609224506963e-05,0.00014784138669389984,0.0003073157595146727,1444,500-2000
IR,real,187.5,7.736432865883742e-05,0.0001679054099321343,0.0003515425014207892,1444,500-2000
IR,real,191.40625,8.757075057070477e-05,0.00021112310266195366,0.0005889299648838317,1444,500-2000
IR,real,195.3125,8.334690112073619e-05,0.0001893109761864031,0.0004883624488133604,1444,500-2000
IR,real,199.21875,7.565916046218594e-05,0.00015448666830608849,0.00029276393366593783,1444,500-2000
IR,real,203.125,9.117577873862123e-05,0.00021096983236421494,0.000447867047050357,1444,500-2000
IR,real,207.03125,0.0001279891744362735,0.00025492135974461655,0.000612219939047119,1444,500-2000
IR,real,210.9375,0.00013578290740786248,0.00021894015142148634,0.00042009134066593723,1444,500-2000
IR,real,214.84375,7.376473695924408e-05,0.00013682048708339427,0.00024208554697635956,1444,500-2000
IR,real,218.75,8.349528101185815e-05,0.0002083852760567825,0.0004898357262789552,1444,500-2000
