method,class,channel,band,real_frac,method_frac,delta
noise_aug,worn,vib_spindle,0-8,0.110530,0.226478,0.115948
noise_aug,worn,vib_spindle,8-20,0.229694,0.116157,-0.113537
noise_aug,worn,vib_spindle,20-40,0.225050,0.292803,0.067753
noise_aug,worn,vib_spindle,40-70,0.220972,0.131637,-0.089335
noise_aug,worn,vib_spindle,70-100,0.147118,0.179849,0.032732
noise_aug,worn,vib_spindle,100-125,0.066637,0.053075,-0.013561
noise_aug,worn,AE_table,0-8,0.105419,0.123231,0.017812
noise_aug,worn,AE_table,8-20,0.194408,0.144546,-0.049863
noise_aug,worn,AE_table,20-40,0.184379,0.158575,-0.025804
noise_aug,worn,AE_table,40-70,0.123423,0.132947,0.009525
noise_aug,worn,AE_table,70-100,0.354388,0.400441,0.046053
noise_aug,worn,AE_table,100-125,0.037983,0.040260,0.002277
noise_aug,worn,AE_spindle,0-8,0.164121,0.154541,-0.009580
noise_aug,worn,AE_spindle,8-20,0.209481,0.171888,-0.037593
noise_aug,worn,AE_spindle,20-40,0.213533,0.243820,0.030287
noise_aug,worn,AE_spindle,40-70,0.117671,0.106699,-0.010971
noise_aug,worn,AE_spindle,70-100,0.260681,0.279627,0.018946
noise_aug,worn,AE_spindle,100-125,0.034514,0.043425,0.008911
noise_aug,severe,smcAC,0-8,0.003696,0.004628,0.000932
noise_aug,severe,smcAC,8-20,0.986361,0.983537,-0.002823
noise_aug,severe,smcAC,20-40,0.002536,0.002849,0.000313
noise_aug,severe,smcAC,40-70,0.002280,0.002890,0.000609
noise_aug,severe,smcAC,70-100,0.002821,0.003419,0.000598
noise_aug,severe,smcAC,100-125,0.002305,0.002677,0.000371
noise_aug,severe,smcDC,0-8,0.909220,0.675941,-0.233280
noise_aug,severe,smcDC,8-20,0.026629,0.050837,0.024208
noise_aug,severe,smcDC,20-40,0.063954,0.094701,0.030747
noise_aug,severe,smcDC,40-70,0.000137,0.064565,0.064428
noise_aug,severe,smcDC,70-100,0.000038,0.062856,0.062817
noise_aug,severe,smcDC,100-125,0.000022,0.051101,0.051080
noise_aug,severe,vib_table,0-8,0.047298,0.037882,-0.009416
noise_aug,severe,vib_table,8-20,0.309386,0.344277,0.034891
noise_aug,severe,vib_table,20-40,0.216909,0.275465,0.058556
noise_aug,severe,vib_table,40-70,0.125918,0.096316,-0.029602
noise_aug,severe,vib_table,70-100,0.287301,0.237169,-0.050132
noise_aug,severe,vib_table,100-125,0.013189,0.008891,-0.004298
noise_aug,severe,vib_spindle,0-8,0.210732,0.099811,-0.110921
noise_aug,severe,vib_spindle,8-20,0.200274,0.210509,0.010235
noise_aug,severe,vib_spindle,20-40,0.204689,0.259596,0.054907
